COUNTY,YEAR,TOTAL,WHITE,HISPANIC,ASIAN,PACIFIC_ISLANDER,BLACK,AMERICAN_INDIAN,MULTIRACE,WHITE_%,HISPANIC_%,ASIAN_%,PACIFIC_ISLANDER_%,BLACK_%,AMERICAN_INDIAN_%,MULTIRACE_%
Alpine,2033,1450,886,169,4,1,7,318,65,61.1034482758621%,11.6551724137931%,0.27586206896552%,0.068965517241379%,0.48275862068966%,21.9310344827586%,4.48275862068966%
Alpine,2034,1446,874,171,4,1,7,322,67,60.4426002766252%,11.8257261410788%,0.27662517289073%,0.069156293222683%,0.48409405255878%,22.268326417704%,4.63347164591978%
Alpine,2035,1442,864,173,4,1,7,324,69,59.9167822468793%,11.997226074896%,0.27739251040222%,0.069348127600555%,0.48543689320388%,22.4687933425798%,4.78502080443828%
Alpine,2036,1437,854,175,4,1,7,327,69,59.4293667362561%,12.178148921364%,0.27835768963118%,0.069589422407794%,0.48712595685456%,22.7557411273486%,4.80167014613779%
Alpine,2037,1430,842,177,4,1,7,330,69,58.8811188811189%,12.3776223776224%,0.27972027972028%,0.06993006993007%,0.48951048951049%,23.0769230769231%,4.82517482517482%
Alpine,2038,1422,828,179,4,1,7,334,69,58.2278481012658%,12.5879043600563%,0.28129395218003%,0.070323488045007%,0.49226441631505%,23.4880450070323%,4.85232067510548%
Alpine,2039,1418,819,181,4,1,7,337,69,57.7574047954866%,12.7644569816643%,0.2820874471086%,0.070521861777151%,0.49365303244006%,23.7658674188999%,4.86600846262341%
Alpine,2040,1411,807,183,4,1,7,340,69,57.1934798015592%,12.9695251594614%,0.2834868887314%,0.070871722182849%,0.49610205527994%,24.0963855421687%,4.89014883061658%
Alpine,2041,1407,799,185,4,1,7,342,69,56.7874911158493%,13.1485429992893%,0.28429282160625%,0.071073205401564%,0.49751243781095%,24.3070362473348%,4.90405117270789%
Alpine,2042,1402,790,187,4,1,7,344,69,56.3480741797432%,13.3380884450785%,0.28530670470756%,0.07132667617689%,0.49928673323823%,24.5363766048502%,4.92154065620542%
Alpine,2043,1395,779,189,4,1,7,346,69,55.84229390681%,13.5483870967742%,0.28673835125448%,0.07168458781362%,0.50179211469534%,24.8028673835125%,4.94623655913978%
Alpine,2044,1389,770,190,4,1,7,348,69,55.4355651547876%,13.678905687545%,0.28797696184305%,0.071994240460763%,0.50395968322534%,25.0539956803456%,4.96760259179266%
Alpine,2045,1384,761,192,4,1,7,350,69,54.985549132948%,13.8728323699422%,0.28901734104046%,0.072254335260116%,0.50578034682081%,25.2890173410405%,4.98554913294798%
Alpine,2046,1385,757,193,4,1,7,354,69,54.6570397111913%,13.9350180505415%,0.28880866425993%,0.072202166064982%,0.50541516245487%,25.5595667870036%,4.98194945848375%
Alpine,2047,1385,751,195,4,1,7,358,69,54.2238267148014%,14.0794223826715%,0.28880866425993%,0.072202166064982%,0.50541516245487%,25.8483754512635%,4.98194945848375%
Alpine,2048,1380,741,197,4,1,7,361,69,53.695652173913%,14.2753623188406%,0.28985507246377%,0.072463768115942%,0.50724637681159%,26.1594202898551%,5%
Alpine,2049,1380,738,198,4,1,7,363,69,53.4782608695652%,14.3478260869565%,0.28985507246377%,0.072463768115942%,0.50724637681159%,26.304347826087%,5%
Alpine,2050,1377,731,200,4,1,7,365,69,53.0864197530864%,14.5243282498184%,0.29048656499637%,0.072621641249092%,0.50835148874365%,26.5068990559187%,5.01089324618736%
Amador,2000,35357,29334,3089,318,31,1434,576,575,82.9651836977119%,8.73660095596346%,0.89939757332353%,0.087677121927765%,4.05577396272308%,1.629097491303%,1.62626919704726%
Amador,2001,35938,29734,3245,318,31,1435,578,597,82.7369358339362%,9.0294395904057%,0.88485725415994%,0.086259669430686%,3.99298792364628%,1.60832544938505%,1.66119427903612%
Amador,2002,36739,30317,3426,322,31,1440,578,625,82.5199379406081%,9.3252402079534%,0.87645281580881%,0.084378997795258%,3.91954054274749%,1.57326002340837%,1.7011894716786%
Amador,2003,37073,30512,3527,328,31,1442,582,651,82.3024842877566%,9.51366223397081%,0.88474091657001%,0.083618806139239%,3.8896231758962%,1.56987565074313%,1.75599492892401%
Amador,2004,37507,30792,3657,330,31,1444,588,665,82.0966752872797%,9.75017996640627%,0.87983576399072%,0.082651238435492%,3.84994800970486%,1.56770736129256%,1.77300237289039%
Amador,2005,38140,31221,3826,332,31,1449,590,691,81.8589407446251%,10.0314630309386%,0.87047718930257%,0.081279496591505%,3.79916098584164%,1.54693235448348%,1.8117461982171%
Amador,2006,38522,31424,3978,340,31,1451,596,702,81.5741654119724%,10.3265666372462%,0.88261253309797%,0.080473495664815%,3.76667878095634%,1.54716785213644%,1.82233528892581%
Amador,2007,38961,31666,4144,348,31,1456,602,714,81.2761479428146%,10.636277302944%,0.89320089320089%,0.079566746233413%,3.73707040373707%,1.54513487846821%,1.83260183260183%
Amador,2008,39404,31904,4316,356,31,1461,608,728,80.9663993503198%,10.953202720536%,0.90346157750482%,0.078672216018678%,3.70774540655771%,1.54299055933408%,1.84752816972896%
Amador,2009,39867,32156,4494,364,31,1464,614,744,80.658188476685%,11.2724809993227%,0.9130358441819%,0.077758547169338%,3.67221009857777%,1.54012090199915%,1.86620513206411%
Amador,2010,40337,32410,4676,374,31,1467,619,760,80.3480675310509%,11.5923345811538%,0.92718843741478%,0.076852517539728%,3.63685945905744%,1.53457123732553%,1.88412623645784%
Amador,2011,41067,32876,4904,384,31,1470,626,776,80.05454501181%,11.9414615141111%,0.93505734531376%,0.075486400272725%,3.57951640002922%,1.52433827647503%,1.88959505198821%
Amador,2012,41803,33339,5138,394,31,1475,634,792,79.7526493313877%,12.290983900677%,0.94251608736215%,0.074157357127479%,3.52845489558166%,1.51663756189747%,1.89460086596656%
Amador,2013,42544,33801,5376,404,31,1480,642,810,79.4495110943964%,12.6363294471606%,0.94960511470478%,0.072865738999624%,3.47875141030463%,1.50902594960511%,1.90391124482888%
Amador,2014,43285,34259,5616,414,31,1487,650,828,79.1475106849948%,12.9744715259328%,0.9564514265912%,0.071618343537022%,3.4353702206307%,1.50167494513111%,1.9129028531824%
Amador,2015,44020,34710,5861,422,31,1492,658,846,78.8505224897774%,13.314402544298%,0.95865515674693%,0.070422535211268%,3.38936846887778%,1.49477510222626%,1.92185370286234%
Amador,2016,44749,35151,6110,430,31,1497,666,864,78.5514760106371%,13.6539364008134%,0.96091532771682%,0.069275291067957%,3.34532615253972%,1.48830141455675%,1.93076940266822%
Amador,2017,45474,35591,6359,437,31,1502,673,881,78.2667018516075%,13.9838149272112%,0.96098869683775%,0.068170822887804%,3.30298632185425%,1.4799665743062%,1.93737080529533%
Amador,2018,46185,36014,6610,445,31,1507,680,898,77.9776983869222%,14.3120060625744%,0.96351629316878%,0.067121359748836%,3.26296416585472%,1.47233950416802%,1.94435422756306%
Amador,2019,46895,36434,6865,453,31,1510,686,916,77.6927177737499%,14.6390873227423%,0.96598784518605%,0.066105128478516%,3.21995948395351%,1.46284252052458%,1.95329992536518%
